property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,shree vardhman flora,sector 90,0.65,6792,2,2,3,9,Relatively New,1050,1,0,0,0,0,0,67,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,m3m golfestate,sector 65,5.5,16960,3,4,3,3,Relatively New,2803,0,1,0,0,0,0,49,"28.4030° N, 77.0690° E",28.403,77.069
flat,dlf regal gardens,sector 90,2.05,8999,4,4,3+,5,Relatively New,2005,0,0,0,0,0,1,49,"28.4085° N, 76.9369° E",28.4085,76.9369
house,independent,sector 51,2.25,2778,6,3,3+,3,Relatively New,900,0,0,0,0,0,0,54,"28.4320° N, 77.0686° E",28.432,77.0686
house,unitech uniworld resorts,sector 33,11,26667,5,6,3,3,New Property,4125,1,1,0,0,0,0,58,"28.4420° N, 77.0207° E",28.442,77.0207
flat,shapoorji pallonji joyville gurugram,sector 102,1.41,10307,2,2,3,0,Relatively New,1238,0,0,0,0,1,0,49,"28.4750° N, 76.9715° E",28.475,76.9715
flat,mapsko mount ville,sector 79,1.65,9091,3,3,0,12,Relatively New,1815,0,0,0,0,0,0,0,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,vatika gurgaon,sector 83,0.98,8167,2,2,3,5,Relatively New,1300,0,0,0,0,0,1,96,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,essel towers,sector 14,2.2,12500,3,4,3+,3,Old Property,1956,0,0,0,0,0,0,0,"28.4711° N, 77.0454° E",28.4711,77.0454
flat,dlf the skycourt,sector 86,1.5,7776,3,3,1,15,Relatively New,1550,0,0,0,0,0,0,159,"28.3986° N, 76.9384° E",28.3986,76.9384
house,satya the hermitage,sector 103,4.35,13501,4,4,3+,2,Relatively New,3222,1,1,1,1,0,1,138,"28.4949° N, 76.9845° E",28.4949,76.9845
flat,tulip violet,sector 69,1.3,8286,3,3,1,12,Relatively New,1419,0,0,0,1,0,0,86,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,chd avenue,sector 71,1.1,6104,3,4,3,3,Moderately Old,1631,0,1,0,0,0,0,26,"28.4104° N, 77.0281° E",28.4104,77.0281
flat,dlf the primus,sector 82a,1.59,10338,3,3,3+,5,Relatively New,1668,0,0,0,0,1,2,167,"28.3858° N, 76.9686° E",28.3858,76.9686
flat,godrej icon,sector 88a,1.65,9041,3,3,3,12,New Property,1652,0,0,0,0,0,0,60,"28.4347° N, 76.9557° E",28.4347,76.9557
flat,dlf the ultima,sector 81,2.28,10842,3,3,3+,14,Relatively New,1750,0,1,0,0,0,2,49,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,dlf new town heights,sector 90,1.6,6768,4,4,3+,10,Relatively New,2139,0,1,0,1,0,0,88,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,dlf regal gardens,sector 90,1.21,6926,3,3,3+,29,Relatively New,1581,0,0,0,0,1,0,95,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,dlf regal gardens,sector 90,1.25,10417,3,3,3,18,Moderately Old,1437,0,1,0,0,0,0,100,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,bestech park view residency,sector 2,0.98,6931,2,2,3,11,Moderately Old,1281,0,0,0,0,0,0,83,"28.5095° N, 77.0320° E",28.5095,77.032
flat,experion the heartsong,sector 108,0.93,6078,2,3,3,10,Relatively New,1161,0,0,0,0,0,0,81,"28.5134° N, 76.9830° E",28.5134,76.983
flat,smart world orchard,sector 61,2.24,14461,3,3,2,3,New Property,1402,0,0,0,0,1,0,61,"28.4050° N, 77.0963° E",28.405,77.0963
flat,kiran residency,sector 56,1.55,7750,3,3,3,5,Old Property,1810,0,1,0,0,0,1,52,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,supertech araville,sector 79,0.78,6023,2,2,3+,17,Relatively New,1172,0,0,0,0,0,0,24,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,la vida by tata housing,sector 113,1.93,12223,3,3,2,8,Under Construction,1429,0,0,0,0,0,0,71,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,ats triumph,sector 104,2.6,8814,4,4,3+,16,Relatively New,3064,0,1,0,0,0,1,150,"28.4788° N, 76.9960° E",28.4788,76.996
house,experion windchants,sector 112,7.46,10260,4,4,3+,2,Relatively New,6350,0,1,0,1,0,1,62,"28.5189° N, 77.0183° E",28.5189,77.0183
flat,ambience creacions,sector 22,4.8,19200,4,6,3+,10,New Property,2778,0,1,0,1,0,2,49,"28.5072° N, 77.0640° E",28.5072,77.064
flat,experion the heartsong,sector 108,0.97,9238,2,2,3,10,Relatively New,1167,0,1,0,0,0,0,165,"28.5134° N, 76.9830° E",28.5134,76.983
flat,shapoorji pallonji joyville gurugram,sector 102,0.97,10601,2,2,2,12,Relatively New,828,0,0,0,0,0,0,100,"28.4750° N, 76.9715° E",28.475,76.9715
flat,dlf garden city floors,sector 92,1.7,8586,3,4,2,1,Under Construction,1475,0,0,0,0,0,0,63,"28.4079° N, 76.9153° E",28.4079,76.9153
